Funding Agency,Implementing Partner - Type,Implementing Partner - Country,Implementing Partner - DUNS Number,Award - Interagency Transfer Status,Award - Title,Award - Benefitting Location,Award - Status,Award - Total Estimated Value,Award - Signing Date,Award - Start Date,Award - End Date,Transaction - Description,Transaction - Value,Transaction - Date,Transaction - Fiscal Year,Transaction - Quarter,Transaction - Type,Transaction - Finance Type,Transaction - Aid Type,Transaction  - Tied Status,Transaction - DAC Purpose Code Name,Transaction - U.S. Foreign Assistance Category,Treasury Account - Starting Fiscal Year,Treasury Account - Ending Fiscal Year,Submission Date to FA.gov
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/14,9/30/15,,156358.65,9/30/15,2015,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/15
Department of State,,,Information Redacted,,Information Redacted,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,292962.6,7/23/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,6/24/19
Inter-American Foundation,,Venezuela,,Direct Appropriation,"Retaining the cacao tradition through economic, environmental, and social development in the Northern sector of the state of Carabobo",Venezuela,,0,,9/5/08,3/5/12,,69691,7/8/11,2011,4,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2010,2012,9/18/13
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/17,9/30/18,,-3655.43,9/30/18,2018,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,9/30/18
U.S. Agency for International Development,National NGO,,,Direct Appropriation,Citizen Initiatives to Support Democracy,Venezuela,Finalisation,0,1/23/12,1/23/12,9/30/16,,13000,3/31/13,2013,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2011,2012,3/31/13
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,185723,3/31/15,2015,2,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,3/31/15
U.S. Agency for International Development,National NGO,United States,780400156,Direct Appropriation,Venezuela Human Rights Activity,Venezuela,Implementation,0,8/31/15,8/31/15,9/30/20,,91064.91,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2017,2018,11/22/19
U.S. Agency for International Development,,,790238638,Direct Appropriation,Staff Travel Costs,Venezuela,Finalisation,0,,10/1/17,9/30/18,,3026.12,9/30/18,2018,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,9/30/18
U.S. Agency for International Development,,,,Direct Appropriation,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Venezuela,Finalisation,0,,10/1/18,9/30/19,,-0.49,9/30/19,2019,4,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2013,2014,11/22/19
U.S. Agency for International Development,National NGO,,15972508,Direct Appropriation,Protection and Promotion of Human Rights in Venezuela,Venezuela,Finalisation,0,9/24/12,9/24/12,9/30/17,,22079.79,9/30/14,2014,4,Disbursement,Standard grant,Project-type interventions,Untied,Human rights,"Democracy, Human Rights, and Governance",2011,2012,9/30/14
Department of State,,,Information Redacted,,"Grants, Subsidies and Contributions",Venezuela,Finalisation,0,,,,Original-grants,9000,5/17/18,2018,3,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016,2017,11/2/18
Department of the Interior,International NGO,Venezuela,886757087,Direct Appropriation,"Conservation of endangered southeastern Caribbean hawksbill turtles, Eretmochelys imbricata, in Los Roques Archipiélago National Park, Venezuela",Venezuela,Implementation,10714,7/7/17,7/7/17,9/30/18,One-time obligation,90747.8,7/7/17,2017,4,Commitment,Standard grant,General budget support,Partially tied,Bio-diversity,Environment,2017,2018,11/9/17
U.S. Agency for International Development,,,,Direct Appropriation,OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES,Venezuela,Finalisation,0,,10/1/14,9/30/15,,-10274.65,6/30/15,2015,3,Commitment,Standard grant,Project-type interventions,Tied,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2004,0,6/30/15
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,8206.37,9/30/19,2019,4,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2016,2017,11/22/19
Inter-American Foundation,,Venezuela,,Direct Appropriation,Participation of Young Women and Men in Constructing Societies Free of Violence,Venezuela,,0,,9/8/08,3/8/11,,25374,7/22/09,2009,4,Disbursement,Standard grant,Project-type interventions,Untied,Legal and judicial development,"Democracy, Human Rights, and Governance",2009,2011,9/18/13
U.S. Agency for International Development,,,,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Finalisation,0,,10/1/17,9/30/18,,1048.05,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,9/30/18
U.S. Agency for International Development,National NGO,United States,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,0,4/1/14,3/31/14,3/31/20,,168977,3/31/19,2019,2,Disbursement,Standard grant,Project-type interventions,Untied,Public finance management (PFM),"Democracy, Human Rights, and Governance",2017,2018,3/31/19
U.S. Agency for International Development,,,,Direct Appropriation,Administrative Costs,Venezuela,Finalisation,0,10/1/02,10/1/13,9/30/14,,13945.23,6/30/14,2014,3,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,6/30/14
U.S. Agency for International Development,National NGO,United States,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,0,4/1/14,3/31/14,6/30/20,,186380.14,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Public finance management (PFM),"Democracy, Human Rights, and Governance",2018,2019,11/22/19
U.S. Agency for International Development,National NGO,United States,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,2175000,3/31/19,2019,2,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2018,2019,3/31/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,784533,9/30/15,2015,4,Commitment,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2014,2015,9/30/15
U.S. Agency for International Development,,,790238638,Direct Appropriation,Civic Participation,Venezuela,Finalisation,0,,10/1/12,9/30/15,,-105.96,12/31/12,2013,1,Commitment,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2007,0,12/31/12
Inter-American Foundation,,Venezuela,,Direct Appropriation,"Strengthening ASOPROTOY Association in Commercial Coffee Production in Torondoy, Merida, Venezuela.",Venezuela,,0,,9/8/08,3/25/11,,52471,10/22/09,2010,1,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2010,2011,9/18/13
Department of State,,,Information Redacted,,RET Venezuela,Venezuela,Finalisation,0,9/14/17,,,Original - COOPERATIVE AGREEMENTS,1498270,9/18/17,2017,4,Commitment,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2017,0,10/3/19
U.S. Agency for International Development,Multilateral,,Information Redacted,Direct Appropriation,"Protection, Assistance and Solutions",Venezuela,Finalisation,500000,,10/1/17,9/30/19,,361957.27,9/30/19,2019,4,Disbursement,Standard grant,Project-type interventions,Untied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,30467,9/30/14,2014,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,9/30/14
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Finalisation,0,,10/1/12,9/30/13,,1680.92,3/31/13,2013,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,0,0,3/31/13
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,256143.27,12/31/13,2014,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,12/31/13
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,0,4/1/14,3/31/14,9/30/20,,627000,3/31/14,2014,2,Commitment,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2013,2014,3/31/14
U.S. Agency for International Development,,,,Direct Appropriation,Administration and Oversight,Venezuela,Implementation,0,,10/1/18,9/30/19,,47072,6/30/19,2019,3,Commitment,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2018,2019,6/30/19
U.S. Agency for International Development,National NGO,,780400156,Direct Appropriation,Assisting Independent News Supply,Venezuela,Implementation,600000,4/1/14,3/31/14,9/30/20,,11000,12/31/15,2016,1,Disbursement,Standard grant,Project-type interventions,Untied,Media and free flow of information,"Democracy, Human Rights, and Governance",2013,2014,12/31/15
U.S. Agency for International Development,National NGO,,126510312,Direct Appropriation,Venezuela Assistance,Venezuela,Finalisation,0,9/15/03,9/15/03,9/30/17,,856.73,12/31/13,2014,1,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2011,2012,12/31/13
U.S. Agency for International Development,"Academic, Training and Research",,193247145,Direct Appropriation,Feed the Future Innovation Lab for Food Security Policy (FSP),Venezuela,Implementation,70000000,7/15/13,7/15/13,1/14/20,,150601,9/30/18,2018,4,Commitment,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2017,2018,9/30/18
U.S. Agency for International Development,,,,Direct Appropriation,USAID Travel and Transportation,Venezuela,Finalisation,0,,10/1/18,9/30/19,,39329.25,7/31/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2019,0,11/22/19
Inter-American Foundation,,Venezuela,,Direct Appropriation,Recycling for Sustainability,Venezuela,,0,,9/5/08,9/5/11,,22606,11/22/10,2011,1,Disbursement,Standard grant,Project-type interventions,Untied,Administrative costs (non-sector allocable),Program Management,2010,2011,9/18/13
Department of State,,,Information Redacted,,HIAS Psychosocial Assistance,Venezuela,,0,,,,Original - COOPERATIVE AGREEMENTS,113594.88,10/26/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Material relief assistance and services,Humanitarian Assistance,2018,2018,7/16/19
U.S. Agency for International Development,National NGO,,110309622,Direct Appropriation,Transparent Electoral Processes,Venezuela,Implementation,4094543,4/1/14,3/31/14,3/31/20,,7261.27,12/31/18,2019,1,Disbursement,Standard grant,Project-type interventions,Untied,Elections,"Democracy, Human Rights, and Governance",2016,2017,12/31/18
U.S. Agency for International Development,,,,Direct Appropriation,"USAID Miscellaneous Goods, Services, and Operations Maintanence",Venezuela,Implementation,0,,10/1/18,9/30/19,,441.52,3/31/19,2019,2,Disbursement,Standard grant,Administrative costs not included elsewhere,Tied,Administrative costs (non-sector allocable),Program Management,2016,2017,3/31/19
U.S. Agency for International Development,National NGO,,77811172,Direct Appropriation,"Civil Society Strengthening, Venezuela Participation Project",Venezuela,Implementation,7990000,4/1/14,3/31/14,9/30/20,,-325046.8,9/30/18,2018,4,Disbursement,Standard grant,Project-type interventions,Untied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2015,2016,9/30/18
U.S. Agency for International Development,National NGO,United States,927923250,Direct Appropriation,National Assembly,Venezuela,Implementation,2000000,9/30/16,9/30/16,9/30/20,,542910.43,6/30/19,2019,3,Disbursement,Standard grant,Project-type interventions,Tied,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2018,2019,6/30/19
U.S. Agency for International Development,Private Sector,United States,195773598,Direct Appropriation,P-Advisory- Promoting Excellence in Private Sector Engagement (PEPSE),Venezuela,Implementation,24500000,8/28/17,8/28/17,8/27/22,,19376.05,7/31/19,2019,4,Disbursement,Standard grant,Project-type interventions,Tied,Relief co-ordination and support services,Humanitarian Assistance,2018,0,11/22/19
